,UserName,Repositry name,Rating,Url,Topic
249,getsops,sops,13816,https://github.com/getsops/sops,Amazon Web Services
250,donnemartin,awesome-aws,11727,https://github.com/donnemartin/awesome-aws,Amazon Web Services
251,caprover,caprover,10995,https://github.com/caprover/caprover,Amazon Web Services
252,GoogleCloudPlatform,terraformer,10804,https://github.com/GoogleCloudPlatform/terraformer,Amazon Web Services
253,aws,aws-cdk,10597,https://github.com/aws/aws-cdk,Amazon Web Services
254,apereo,cas,10328,https://github.com/apereo/cas,Amazon Web Services
255,aws,chalice,9989,https://github.com/aws/chalice,Amazon Web Services
256,infracost,infracost,9565,https://github.com/infracost/infracost,Amazon Web Services
257,aws-amplify,amplify-js,9270,https://github.com/aws-amplify/amplify-js,Amazon Web Services
258,google,go-cloud,9186,https://github.com/google/go-cloud,Amazon Web Services
259,aws,serverless-application-model,9106,https://github.com/aws/serverless-application-model,Amazon Web Services
260,bregman-arie,devops-exercises,58180,https://github.com/bregman-arie/devops-exercises,Azure
261,pulumi,pulumi,17609,https://github.com/pulumi/pulumi,Azure
262,recommenders-team,recommenders,16357,https://github.com/recommenders-team/recommenders,Azure
263,ramitsurana,awesome-kubernetes,14270,https://github.com/ramitsurana/awesome-kubernetes,Azure
264,getsops,sops,13816,https://github.com/getsops/sops,Azure
265,Azure,azure-quickstart-templates,13186,https://github.com/Azure/azure-quickstart-templates,Azure
266,caprover,caprover,10995,https://github.com/caprover/caprover,Azure
267,infracost,infracost,9565,https://github.com/infracost/infracost,Azure
268,google,go-cloud,9186,https://github.com/google/go-cloud,Azure
269,microsoft,computervision-recipes,9115,https://github.com/microsoft/computervision-recipes,Azure
270,prowler-cloud,prowler,8607,https://github.com/prowler-cloud/prowler,Azure
271,microsoft,azuredatastudio,7240,https://github.com/microsoft/azuredatastudio,Azure
272,Netflix,metaflow,6980,https://github.com/Netflix/metaflow,Azure
273,midwayjs,midway,6878,https://github.com/midwayjs/midway,Azure
274,node-formidable,formidable,6769,https://github.com/node-formidable/formidable,Azure
275,thangchung,clean-code-dotnet,6373,https://github.com/thangchung/clean-code-dotnet,Azure
276,aquasecurity,tfsec,6268,https://github.com/aquasecurity/tfsec,Azure
277,budtmo,docker-android,6116,https://github.com/budtmo/docker-android,Azure
278,milanm,DevOps-Roadmap,6053,https://github.com/milanm/DevOps-Roadmap,Azure
279,bridgecrewio,checkov,5918,https://github.com/bridgecrewio/checkov,Azure
280,babel,babel,42536,https://github.com/babel/babel,Babel
281,swc-project,swc,28564,https://github.com/swc-project/swc,Babel
282,nylas,nylas-mail,24758,https://github.com/nylas/nylas-mail,Babel
283,electron-react-boilerplate,electron-react-boilerplate,21870,https://github.com/electron-react-boilerplate/electron-react-boilerplate,Babel
284,avajs,ava,20494,https://github.com/avajs/ava,Babel
285,SimulatedGREG,electron-vue,15408,https://github.com/SimulatedGREG/electron-vue,Babel
286,grab,front-end-guide,14988,https://github.com/grab/front-end-guide,Babel
287,jamiebuilds,babel-handbook,11778,https://github.com/jamiebuilds/babel-handbook,Babel
288,developit,htm,8329,https://github.com/developit/htm,Babel
289,grommet,grommet,8246,https://github.com/grommet/grommet,Babel
290,ben-rogerson,twin.macro,7542,https://github.com/ben-rogerson/twin.macro,Babel
291,angular-fullstack,generator-angular-fullstack,6128,https://github.com/angular-fullstack/generator-angular-fullstack,Babel
292,documentationjs,documentation,5727,https://github.com/documentationjs/documentation,Babel
293,fkling,astexplorer,5621,https://github.com/fkling/astexplorer,Babel
294,insin,nwb,5564,https://github.com/insin/nwb,Babel
295,thinkjs,thinkjs,5305,https://github.com/thinkjs/thinkjs,Babel
296,egoist,poi,5256,https://github.com/egoist/poi,Babel
297,duxianwei520,react,4866,https://github.com/duxianwei520/react,Babel
298,transitive-bullshit,create-react-library,4800,https://github.com/transitive-bullshit/create-react-library,Babel
299,babel,babel-loader,4759,https://github.com/babel/babel-loader,Babel
300,jlevy,the-art-of-command-line,139527,https://github.com/jlevy/the-art-of-command-line,Bash
301,nvm-sh,nvm,70275,https://github.com/nvm-sh/nvm,Bash
302,junegunn,fzf,54457,https://github.com/junegunn/fzf,Bash
303,google,zx,38568,https://github.com/google/zx,Bash
304,starship,starship,36526,https://github.com/starship/starship,Bash
305,dylanaraps,pure-bash-bible,34752,https://github.com/dylanaraps/pure-bash-bible,Bash
306,LeCoupa,awesome-cheatsheets,34622,https://github.com/LeCoupa/awesome-cheatsheets,Bash
307,acmesh-official,acme.sh,33170,https://github.com/acmesh-official/acme.sh,Bash
308,koalaman,shellcheck,33071,https://github.com/koalaman/shellcheck,Bash
309,mathiasbynens,dotfiles,29312,https://github.com/mathiasbynens/dotfiles,Bash
310,alebcay,awesome-shell,28567,https://github.com/alebcay/awesome-shell,Bash
311,jaywcjlove,linux-command,25092,https://github.com/jaywcjlove/linux-command,Bash
312,withfig,autocomplete,23033,https://github.com/withfig/autocomplete,Bash
313,dylanaraps,neofetch,18818,https://github.com/dylanaraps/neofetch,Bash
314,asdf-vm,asdf,18554,https://github.com/asdf-vm/asdf,Bash
315,Nyr,openvpn-install,17592,https://github.com/Nyr/openvpn-install,Bash
316,kingToolbox,WindTerm,16855,https://github.com/kingToolbox/WindTerm,Bash
317,rbenv,rbenv,15309,https://github.com/rbenv/rbenv,Bash
318,warpdotdev,Warp,15276,https://github.com/warpdotdev/Warp,Bash
319,charmbracelet,gum,14694,https://github.com/charmbracelet/gum,Bash
320,bitcoin,bitcoin,71462,https://github.com/bitcoin/bitcoin,Bitcoin
321,ccxt,ccxt,29173,https://github.com/ccxt/ccxt,Bitcoin
322,freqtrade,freqtrade,22981,https://github.com/freqtrade/freqtrade,Bitcoin
323,HelloZeroNet,ZeroNet,18009,https://github.com/HelloZeroNet/ZeroNet,Bitcoin
324,solana-labs,solana,10598,https://github.com/solana-labs/solana,Bitcoin
325,bbfamily,abu,10447,https://github.com/bbfamily/abu,Bitcoin
326,askmike,gekko,9973,https://github.com/askmike/gekko,Bitcoin
327,dvf,blockchain,7511,https://github.com/dvf/blockchain,Bitcoin
328,lbryio,lbry-sdk,7200,https://github.com/lbryio/lbry-sdk,Bitcoin
329,lightningnetwork,lnd,7081,https://github.com/lightningnetwork/lnd,Bitcoin
330,spesmilo,electrum,6599,https://github.com/spesmilo/electrum,Bitcoin
331,yeasy,blockchain_guide,6581,https://github.com/yeasy/blockchain_guide,Bitcoin
332,butor,blackbird,5773,https://github.com/butor/blackbird,Bitcoin
333,btcsuite,btcd,5473,https://github.com/btcsuite/btcd,Bitcoin
334,btcpayserver,btcpayserver,5405,https://github.com/btcpayserver/btcpayserver,Bitcoin
335,bitcoinjs,bitcoinjs-lib,5120,https://github.com/bitcoinjs/bitcoinjs-lib,Bitcoin
336,getumbrel,umbrel,4987,https://github.com/getumbrel/umbrel,Bitcoin
337,anders94,blockchain-demo,4906,https://github.com/anders94/blockchain-demo,Bitcoin
338,jesse-ai,jesse,4847,https://github.com/jesse-ai/jesse,Bitcoin
339,bitcoinj,bitcoinj,4680,https://github.com/bitcoinj/bitcoinj,Bitcoin
340,twbs,bootstrap,165377,https://github.com/twbs/bootstrap,Bootstrap
341,ColorlibHQ,AdminLTE,42955,https://github.com/ColorlibHQ/AdminLTE,Bootstrap
342,tabler,tabler,35461,https://github.com/tabler/tabler,Bootstrap
343,mdbootstrap,mdb-ui-kit,23689,https://github.com/mdbootstrap/mdb-ui-kit,Bootstrap
344,react-bootstrap,react-bootstrap,21942,https://github.com/react-bootstrap/react-bootstrap,Bootstrap
345,ColorlibHQ,gentelella,20842,https://github.com/ColorlibHQ/gentelella,Bootstrap
346,verekia,js-stack-from-scratch,20023,https://github.com/verekia/js-stack-from-scratch,Bootstrap
347,bootstrap-vue,bootstrap-vue,14389,https://github.com/bootstrap-vue/bootstrap-vue,Bootstrap
